fecha,Mod_comb,NDVI,sup_quemad,sup_arb,sup_pastiz,sup_matorr,w_arb,w_pastiz,w_matorr,rk_Cuenc_F,rk_hist_Cu,rk_hist_us,rk_orograf,rk_peligro,rk_pte,vuln_equip,vuln_forve,vuln_infra,vuln_max,vuln_pathi,LST,rk_combUSIF,rk_combCuencExtr,rk_combCuencSup,Velocidad_Viento,Dirección_Viento,Humedad_Relativa,Temperatura_Máxima,Temperatura_Media,ETo_acumulada,Precipitación_acumulada
13/08/2008,7,3747.28,37.9000015,37.9000015,0,0,1,0,0,5,5,2,2,1,1,1,4,2,4,1,39.19,4,4,3,1,310,43,34,23.8,1043.41,487.4
30/06/2008,4,3981.5,17.0779991,16.0739994,1.0039999,0,0.941211,0.0587891,0,5,5,5,2,3,4,1,4,5,5,1,33.99,5,5,4,1.6,268.8,48.6,38.4,28.9,968.59,658.2
15/07/2009,1,3811.66,18.0400009,0.18,14.7399998,3.1199999,0.0099778,0.817073,0.172949,3,4,3,3,1,2,1,4,3,4,1,42.45,5,4,4,1.6,240,38,37,26.1,1087.09,411
25/07/2009,10,3536,10.1199999,0,10.1199999,0,0,1,0,5,5,3,2,2,1,1,3,5,5,1,46.99,5,5,4,1.2,292,42.5,39.2,29.1,1129.46,508.2
28/05/2009,NA,2132.06,56.2200012,15.5900002,0,40.6300011,0.277303,0,0.722697,5,5,3,2,1,1,1,3,5,5,1,33.75,5,5,5,1.3,290,37.4,33.3,24.5,741.75,495.2
24/06/2009,NA,NA,11,0,11,0,0,1,0,4,4,5,2,1,1,1,3,4,4,1,43.05,5,5,5,2,298.4,80.1,29.7,22.7,884.09,369.2
03/07/2009,3,2384,27.1800003,6.8499999,9.4799995,10.8500004,0.252024,0.348786,0.399191,4,3,1,2,2,1,1,3,5,5,1,47.89,1,1,1,2,290,77,38.7,29.2,963.57,439.8
14/08/2009,NA,NA,11.9799995,8.7200003,1.23,2.03,0.72788,0.102671,0.169449,3,4,2,2,1,1,1,4,5,5,1,40.25,4,5,5,2.2,323.1,28,37.3,28.4,1344.11,548.2
28/08/2010,6,4338.8,29.1690006,21.5179996,0.631,7.02,0.737701,0.0216326,0.240666,5,5,5,2,3,4,1,4,3,4,1,41.77,5,5,5,1.5,230,68.1,38.4,30.1,1289.75,1256.4
25/07/2010,1,4090.4,27.1499996,2.2,0,24.9500008,0.0810313,0,0.918969,5,4,2,2,2,1,1,4,2,4,1,36.49,4,3,2,1.6,254,78,35.6,27.5,1179.75,901
15/08/2011,10,3086.5,17.8630009,5.948,8.6859999,3.2290001,0.332979,0.486256,0.180765,2,5,5,2,1,1,1,3,5,5,1,43.11,5,5,5,1.3,306,64,38,29.5,1119.83,1164.6
15/06/2011,NA,NA,12.6599998,0.66,6,6,0.0521327,0.473934,0.473934,3,4,5,2,1,1,1,3,2,3,1,40.31,5,2,2,1.3,307,77,35.7,26.8,741.22,793
24/05/2012,7,2925.69,138.0330048,44.1119995,0.241,93.6800003,0.319576,0.001746,0.678678,5,5,5,3,2,3,1,4,3,4,1,34.91,5,5,4,1.4,173.8,61.9,33,24.5,742.07,417.8
01/07/2012,10,3561.5,23.2210007,22.5949993,0,0.626,0.973042,0,0.0269584,3,5,5,2,1,2,1,4,3,4,1,37.89,5,5,4,1.2,324.4,72.9,33.1,23.2,875.96,252
15/06/2012,10,3875.7,187.8869934,131.0149994,40.9039993,15.9680004,0.697307,0.217705,0.0849873,4,4,5,2,3,2,1,3,2,3,1,44.95,5,4,3,1.2,265.3,87.9,35.5,25.1,716.81,242
17/06/2012,3,4288.2,28.9200001,0,0,28.9200001,0,0,1,3,2,1,2,1,1,1,4,2,4,1,41.59,1,2,2,1.1,280,90,36.5,27.2,787,251.2
26/06/2012,NA,NA,12.3459997,4.3119998,6.4699998,1.564,0.349263,0.524056,0.126681,3,4,5,2,2,3,1,4,5,5,1,NA,5,4,5,1.1,200,68.9,38,29.3,921.49,375
14/07/2012,10,2994.66,154.5850067,105.6549988,2.224,46.7060013,0.683475,0.0143869,0.302138,3,4,2,2,1,1,1,4,3,4,1,39.49,4,5,5,1.7,340.9,81.4,33.2,25.7,922.58,375
11/08/2012,NA,3388.3,337.6530151,0,336.6459961,1.007,0,0.997018,0.0029824,1,3,2,2,1,1,1,1,1,1,1,44.47,4,4,3,2.3,310,57,41.6,33.3,1050.84,375
